YEAR,DEM_CANDIDATE,DEM_VOTES,TOTALVOTES,REP_CANDIDATE,REP_VOTES,THIRD_PARTY_VOTES,STATE,MEDIAN_INCOME,STANDARD_ERROR,POPULATION,NETVOTES,WINNER,INCUMBENT,HOUSE,SENATE,DEM_SPENDING,REP_SPENDING,VEP_PCT_TURNOUT,TOTAL_ELIGIBLE_POPULATION,NET_VOTES_PCT
1984,"MONDALE, WALTER",551899.0,1441713.0,"REAGAN, RONALD",872849.0,16965.0,Alabama,41190.0,1440.0,3951824.0,-320950.0,0,0,1,0,196886781.63,192307966.66,0.509,2831099.0,-0.2226171228254167
1984,"MONDALE, WALTER",120347.0,388904.0,"REAGAN, RONALD",267050.0,1507.0,New Hampshire,61663.0,1749.0,976863.0,-146703.0,0,0,1,0,196886781.63,192307966.66,0.541,718967.0,-0.3772216279595993
1984,"MONDALE, WALTER",1261323.0,3217862.0,"REAGAN, RONALD",1933630.0,22909.0,New Jersey,66094.0,1904.0,7515474.0,-672307.0,0,0,1,0,196886781.63,192307966.66,0.605,5318696.0,-0.20892971793072543
1984,"MONDALE, WALTER",201769.0,514370.0,"REAGAN, RONALD",307101.0,5500.0,New Mexico,49090.0,2449.0,1416719.0,-105332.0,0,0,1,0,196886781.63,192307966.66,0.538,956246.0,-0.20477866127495772
1984,"MONDALE, WALTER",3001285.0,6806810.0,"REAGAN, RONALD",3376519.0,429006.0,New York,52414.0,992.0,17745676.0,-375234.0,0,0,1,0,196886781.63,192307966.66,0.556,12232120.0,-0.05512626325694415
1984,"MONDALE, WALTER",824287.0,2175361.0,"REAGAN, RONALD",1346481.0,4593.0,North Carolina,48944.0,1525.0,6164004.0,-522194.0,0,0,1,0,196886781.63,192307966.66,0.482,4512013.0,-0.24004935272812192
1984,"MONDALE, WALTER",104429.0,308971.0,"REAGAN, RONALD",200336.0,4206.0,North Dakota,49425.0,2470.0,680499.0,-95907.0,0,0,1,0,196886781.63,192307966.66,0.64,482655.0,-0.31040777289778004
1984,"MONDALE, WALTER",1825440.0,4563235.0,"REAGAN, RONALD",2678559.0,59236.0,Ohio,55022.0,1171.0,10737743.0,-853119.0,0,0,1,0,196886781.63,192307966.66,0.588,7732456.0,-0.18695486864033958
1984,"MONDALE, WALTER",385080.0,1255676.0,"REAGAN, RONALD",861530.0,9066.0,Oklahoma,50322.0,1708.0,3285535.0,-476450.0,0,0,1,0,196886781.63,192307966.66,0.54,2324445.0,-0.3794370522332194
1984,"MONDALE, WALTER",536479.0,1226527.0,"REAGAN, RONALD",685700.0,4348.0,Oregon,50919.0,1773.0,2666589.0,-149221.0,0,0,1,0,196886781.63,192307966.66,0.643,1906880.0,-0.12166140655688787
1984,"MONDALE, WALTER",197106.0,410489.0,"REAGAN, RONALD",212080.0,1303.0,Rhode Island,51426.0,2018.0,961895.0,-14974.0,0,0,1,0,196886781.63,192307966.66,0.588,697537.0,-0.036478444002153526
1984,"MONDALE, WALTER",91655.0,282717.0,"REAGAN, RONALD",188770.0,2292.0,Nevada,61335.0,2422.0,924921.0,-97115.0,0,0,1,0,196886781.63,192307966.66,0.436,656862.0,-0.34350605021983116
1984,"MONDALE, WALTER",344459.0,968529.0,"REAGAN, RONALD",615539.0,8531.0,South Carolina,48326.0,2222.0,3271864.0,-271080.0,0,0,1,0,196886781.63,192307966.66,0.416,2329080.0,-0.27988836679128865
1984,"MONDALE, WALTER",711714.0,1711993.0,"REAGAN, RONALD",990212.0,10067.0,Tennessee,39933.0,1371.0,4686743.0,-278498.0,0,0,1,0,196886781.63,192307966.66,0.501,3415760.0,-0.16267473056256657
1984,"MONDALE, WALTER",1949276.0,5397571.0,"REAGAN, RONALD",3433428.0,14867.0,Texas,54786.0,1268.0,16007088.0,-1484152.0,0,0,1,0,196886781.63,192307966.66,0.51,10582774.0,-0.274966647034379
1984,"MONDALE, WALTER",155369.0,629656.0,"REAGAN, RONALD",469105.0,5182.0,Utah,54865.0,1749.0,1622342.0,-313736.0,0,0,1,0,196886781.63,192307966.66,0.63,998820.0,-0.4982657196945634
1984,"MONDALE, WALTER",95730.0,234561.0,"REAGAN, RONALD",135865.0,2966.0,Vermont,53725.0,2339.0,526658.0,-40135.0,0,0,1,0,196886781.63,192307966.66,0.615,381479.0,-0.17110687624967494
1984,"MONDALE, WALTER",796250.0,2146635.0,"REAGAN, RONALD",1337078.0,13307.0,Virginia,63117.0,2080.0,5643868.0,-540828.0,0,0,1,0,196886781.63,192307966.66,0.524,4100160.0,-0.2519422258558162
1984,"MONDALE, WALTER",798352.0,1874910.0,"REAGAN, RONALD",1051670.0,24888.0,Washington,59529.0,1958.0,4343657.0,-253318.0,0,0,1,0,196886781.63,192307966.66,0.613,3072714.0,-0.13510941858542544
1984,"MONDALE, WALTER",328125.0,735742.0,"REAGAN, RONALD",405483.0,2134.0,West Virginia,40078.0,1447.0,1927696.0,-77358.0,0,0,1,0,196886781.63,192307966.66,0.529,1391427.0,-0.10514283539610353
1984,"MONDALE, WALTER",995740.0,2211689.0,"REAGAN, RONALD",1198584.0,17365.0,Wisconsin,49358.0,1954.0,4735571.0,-202844.0,0,0,1,0,196886781.63,192307966.66,0.649,3409202.0,-0.09171452224973764
1984,"MONDALE, WALTER",53370.0,188968.0,"REAGAN, RONALD",133241.0,2357.0,Wyoming,56671.0,1739.0,504895.0,-79871.0,0,0,1,0,196886781.63,192307966.66,0.558,338733.0,-0.42266944667880274
1984,"MONDALE, WALTER",848583.0,2122771.0,"REAGAN, RONALD",1274188.0,0.0,Missouri,49435.0,1701.0,4975276.0,-425605.0,0,0,1,0,196886781.63,192307966.66,0.587,3617948.0,-0.2004950133575407
1984,"MONDALE, WALTER",116113.0,317867.0,"REAGAN, RONALD",200267.0,1487.0,South Dakota,46184.0,2208.0,697250.0,-84154.0,0,0,1,0,196886781.63,192307966.66,0.643,494651.0,-0.26474594720433386
1984,"MONDALE, WALTER",187866.0,652090.0,"REAGAN, RONALD",460054.0,4170.0,Nebraska,50915.0,1820.0,1588638.0,-272188.0,0,0,1,0,196886781.63,192307966.66,0.575,1135012.0,-0.41740863991166866
1984,"MONDALE, WALTER",2228131.0,4844903.0,"REAGAN, RONALD",2584323.0,32449.0,Pennsylvania,48414.0,1187.0,11815175.0,-356192.0,0,0,1,0,196886781.63,192307966.66,0.551,8790815.0,-0.07351891255614405
1984,"MONDALE, WALTER",352192.0,941104.0,"REAGAN, RONALD",582377.0,6535.0,Mississippi,36716.0,1742.0,2578053.0,-230185.0,0,0,1,0,196886781.63,192307966.66,0.533,1766654.0,-0.24459039596048895
1984,"MONDALE, WALTER",146742.0,384377.0,"REAGAN, RONALD",232450.0,5185.0,Montana,46486.0,1713.0,820904.0,-85708.0,0,0,1,0,196886781.63,192307966.66,0.664,578925.0,-0.22297900238567864
1984,"MONDALE, WALTER",333854.0,1025897.0,"REAGAN, RONALD",681416.0,10627.0,Arizona,50981.0,1449.0,3067134.0,-347562.0,0,0,1,0,196886781.63,192307966.66,0.477,2151391.0,-0.3387883968858472
1984,"MONDALE, WALTER",338646.0,884406.0,"REAGAN, RONALD",534774.0,10986.0,Arkansas,37297.0,1780.0,2319767.0,-196128.0,0,0,1,0,196886781.63,192307966.66,0.53,1668136.0,-0.22176240324014085
1984,"MONDALE, WALTER",3922519.0,9505041.0,"REAGAN, RONALD",5467009.0,115513.0,California,60171.0,866.0,25844397.0,-1544490.0,0,0,1,0,196886781.63,192307966.66,0.572,16618345.0,-0.1624916715246152
1984,"MONDALE, WALTER",454975.0,1295380.0,"REAGAN, RONALD",821817.0,18588.0,Colorado,61394.0,1916.0,3169995.0,-366842.0,0,0,1,0,196886781.63,192307966.66,0.571,2267668.0,-0.2831925766956414
1984,"MONDALE, WALTER",569597.0,1466900.0,"REAGAN, RONALD",890877.0,6426.0,Connecticut,71269.0,2946.0,3180014.0,-321280.0,0,0,1,0,196886781.63,192307966.66,0.638,2300533.0,-0.21901970141113913
1984,"MONDALE, WALTER",101656.0,254572.0,"REAGAN, RONALD",152190.0,726.0,Delaware,61437.0,2444.0,611565.0,-50534.0,0,0,1,0,196886781.63,192307966.66,0.575,442354.0,-0.19850572725987148
1984,"MONDALE, WALTER",1448816.0,4180051.0,"REAGAN, RONALD",2730350.0,885.0,Florida,47079.0,1114.0,11039925.0,-1281534.0,0,0,1,0,196886781.63,192307966.66,0.524,7976805.0,-0.3065833407295748
1984,"MONDALE, WALTER",706628.0,1776103.0,"REAGAN, RONALD",1068722.0,753.0,Georgia,47552.0,1939.0,5834943.0,-362094.0,0,0,1,0,196886781.63,192307966.66,0.431,4119852.0,-0.2038699332189631
1984,"MONDALE, WALTER",147154.0,335846.0,"REAGAN, RONALD",185050.0,3642.0,Hawaii,68714.0,2894.0,1027922.0,-37896.0,0,0,1,0,196886781.63,192307966.66,0.484,694187.0,-0.11283743144179177
1984,"MONDALE, WALTER",108510.0,411144.0,"REAGAN, RONALD",297523.0,5111.0,Idaho,50189.0,2291.0,990841.0,-189013.0,0,0,1,0,196886781.63,192307966.66,0.62,662771.0,-0.4597245733854805
1984,"MONDALE, WALTER",62007.0,207605.0,"REAGAN, RONALD",138377.0,7221.0,Alaska,76992.0,3505.0,513704.0,-76370.0,0,0,1,0,196886781.63,192307966.66,0.605,343030.0,-0.36786204571180847
1984,"MONDALE, WALTER",841481.0,2233069.0,"REAGAN, RONALD",1377230.0,14358.0,Indiana,54182.0,1689.0,5458322.0,-535749.0,0,0,1,0,196886781.63,192307966.66,0.57,3916362.0,-0.23991600796930143
1984,"MONDALE, WALTER",2086499.0,4819088.0,"REAGAN, RONALD",2707103.0,25486.0,Illinois,56518.0,1349.0,11412128.0,-620604.0,0,0,1,0,196886781.63,192307966.66,0.608,7922605.0,-0.12878038334224234
1984,"MONDALE, WALTER",1529638.0,3801658.0,"REAGAN, RONALD",2251571.0,20449.0,Michigan,54646.0,1511.0,9049454.0,-721933.0,0,0,1,0,196886781.63,192307966.66,0.593,6407156.0,-0.18989951226543786
1984,"MONDALE, WALTER",1239606.0,2559383.0,"REAGAN, RONALD",1310936.0,8841.0,Massachusetts,64150.0,1649.0,5840774.0,-71330.0,0,0,1,0,196886781.63,192307966.66,0.599,4273437.0,-0.027869998355072298
1984,"MONDALE, WALTER",787935.0,1675873.0,"REAGAN, RONALD",879918.0,8020.0,Maryland,70691.0,2739.0,4365246.0,-91983.0,0,0,1,0,196886781.63,192307966.66,0.538,3113967.0,-0.05488661730333981
1984,"MONDALE, WALTER",214515.0,553144.0,"REAGAN, RONALD",336500.0,2129.0,Maine,49132.0,2104.0,1155634.0,-121985.0,0,0,1,0,196886781.63,192307966.66,0.658,840251.0,-0.22053027783000448
1984,"MONDALE, WALTER",1036364.0,2084449.0,"REAGAN, RONALD",1032603.0,15482.0,Minnesota,58146.0,2175.0,4157704.0,3761.0,1,0,1,0,196886781.63,192307966.66,0.699,2982015.0,0.0018043137538985123
1984,"MONDALE, WALTER",539539.0,1369345.0,"REAGAN, RONALD",821702.0,8104.0,Kentucky,42070.0,2568.0,3695459.0,-282163.0,0,0,1,0,196886781.63,192307966.66,0.518,2643027.0,-0.2060569104206756
1984,"MONDALE, WALTER",333149.0,1021991.0,"REAGAN, RONALD",677296.0,11546.0,Kansas,58605.0,2170.0,2424088.0,-344147.0,0,0,1,0,196886781.63,192307966.66,0.584,1751223.0,-0.3367417129896447
1984,"MONDALE, WALTER",605620.0,1319805.0,"REAGAN, RONALD",703088.0,11097.0,Iowa,47265.0,1773.0,2858615.0,-97468.0,0,0,1,0,196886781.63,192307966.66,0.641,2057482.0,-0.07385030364334125
1984,"MONDALE, WALTER",651586.0,1706822.0,"REAGAN, RONALD",1037299.0,17937.0,Louisiana,45090.0,2094.0,4400474.0,-385713.0,0,0,1,0,196886781.63,192307966.66,0.565,3019930.0,-0.2259831429405058
1988,"DUKAKIS, MICHAEL",2194944.0,4536251.0,"BUSH, GEORGE H.W.",2300087.0,41220.0,Pennsylvania,56414.0,1048.0,11845755.0,-105143.0,0,0,1,1,192357473.44,194168461.3,0.51,8892826.0,-0.023178391142818156
1988,"DUKAKIS, MICHAEL",1320352.0,3099553.0,"BUSH, GEORGE H.W.",1743192.0,36009.0,New Jersey,76550.0,1388.0,7712333.0,-422840.0,0,0,1,1,192357473.44,194168461.3,0.57,5435008.0,-0.1364196708364077
1988,"DUKAKIS, MICHAEL",244497.0,521387.0,"BUSH, GEORGE H.W.",270341.0,6549.0,New Mexico,40706.0,1757.0,1490336.0,-25844.0,0,0,1,1,192357473.44,194168461.3,0.52,1002876.0,-0.04956778745921935
1988,"DUKAKIS, MICHAEL",3255487.0,6485683.0,"BUSH, GEORGE H.W.",2838414.0,391782.0,New York,60998.0,1409.0,17941309.0,417073.0,1,0,1,1,192357473.44,194168461.3,0.527,12300666.0,0.06430671989364882
1988,"DUKAKIS, MICHAEL",890167.0,2134370.0,"BUSH, GEORGE H.W.",1237258.0,6945.0,North Carolina,51505.0,1131.0,6480591.0,-347091.0,0,0,1,1,192357473.44,194168461.3,0.445,4794041.0,-0.16261988315053155
1988,"DUKAKIS, MICHAEL",127739.0,297261.0,"BUSH, GEORGE H.W.",166559.0,2963.0,North Dakota,50824.0,2129.0,655330.0,-38820.0,0,0,1,1,192357473.44,194168461.3,0.637,466684.0,-0.13059230776993955
1988,"DUKAKIS, MICHAEL",1939629.0,4393585.0,"BUSH, GEORGE H.W.",2416549.0,37407.0,Ohio,58520.0,1342.0,10798554.0,-476920.0,0,0,1,1,192357473.44,194168461.3,0.558,7869099.0,-0.10854916884503202
1988,"DUKAKIS, MICHAEL",163696.0,450525.0,"BUSH, GEORGE H.W.",281537.0,5292.0,New Hampshire,73044.0,2382.0,1082576.0,-117841.0,0,0,1,1,192357473.44,194168461.3,0.564,800468.0,-0.261563731202486
1988,"DUKAKIS, MICHAEL",483423.0,1171036.0,"BUSH, GEORGE H.W.",678367.0,9246.0,Oklahoma,49927.0,1595.0,3167064.0,-194944.0,0,0,1,1,192357473.44,194168461.3,0.521,2245785.0,-0.16647139797580945
1988,"DUKAKIS, MICHAEL",616206.0,1201694.0,"BUSH, GEORGE H.W.",560126.0,25362.0,Oregon,58536.0,2426.0,2741297.0,56080.0,1,0,1,1,192357473.44,194168461.3,0.606,1982355.0,0.046667454443477294
1988,"DUKAKIS, MICHAEL",225123.0,404622.0,"BUSH, GEORGE H.W.",177761.0,1738.0,Rhode Island,62954.0,3342.0,996407.0,47362.0,1,0,1,1,192357473.44,194168461.3,0.561,721773.0,0.11705245883812546
1988,"DUKAKIS, MICHAEL",207343.0,647008.0,"BUSH, GEORGE H.W.",428442.0,11223.0,Utah,55509.0,1918.0,1689372.0,-221099.0,0,0,1,1,192357473.44,194168461.3,0.62,1043170.0,-0.3417252955141204
1988,"DUKAKIS, MICHAEL",145560.0,312991.0,"BUSH, GEORGE H.W.",165415.0,2016.0,South Dakota,47031.0,1483.0,698160.0,-19855.0,0,0,1,1,192357473.44,194168461.3,0.634,494034.0,-0.0634363288401264
1988,"DUKAKIS, MICHAEL",679794.0,1636250.0,"BUSH, GEORGE H.W.",947233.0,9223.0,Tennessee,43997.0,2145.0,4822438.0,-267439.0,0,0,1,1,192357473.44,194168461.3,0.461,3551452.0,-0.163446294881589
1988,"DUKAKIS, MICHAEL",2352748.0,5427410.0,"BUSH, GEORGE H.W.",3036829.0,37833.0,Texas,52661.0,1228.0,16667040.0,-684081.0,0,0,1,1,192357473.44,194168461.3,0.501,10833436.0,-0.12604188738274794
1988,"DUKAKIS, MICHAEL",115775.0,243328.0,"BUSH, GEORGE H.W.",124331.0,3222.0,Vermont,61152.0,2272.0,549763.0,-8556.0,0,0,1,1,192357473.44,194168461.3,0.601,404795.0,-0.035162414518674384
1988,"DUKAKIS, MICHAEL",859799.0,2191609.0,"BUSH, GEORGE H.W.",1309162.0,22648.0,Virginia,68873.0,2783.0,6036908.0,-449363.0,0,0,1,1,192357473.44,194168461.3,0.498,4396900.0,-0.2050379424432004
1988,"DUKAKIS, MICHAEL",933516.0,1865253.0,"BUSH, GEORGE H.W.",903835.0,27902.0,Washington,68196.0,2173.0,4639894.0,29681.0,1,0,1,1,192357473.44,194168461.3,0.568,3282173.0,0.01591258665714517
1988,"DUKAKIS, MICHAEL",341016.0,653311.0,"BUSH, GEORGE H.W.",310065.0,2230.0,West Virginia,40827.0,1962.0,1830213.0,30951.0,1,0,1,1,192357473.44,194168461.3,0.485,1347692.0,0.04737559906384555
1988,"DUKAKIS, MICHAEL",1126794.0,2191608.0,"BUSH, GEORGE H.W.",1047499.0,17315.0,Wisconsin,62391.0,2063.0,4822391.0,79295.0,1,0,1,1,192357473.44,194168461.3,0.628,3489742.0,0.036181196637354855
1988,"DUKAKIS, MICHAEL",67113.0,176551.0,"BUSH, GEORGE H.W.",106867.0,2571.0,Wyoming,55733.0,2310.0,465103.0,-39754.0,0,0,1,1,192357473.44,194168461.3,0.56,315073.0,-0.22517006417409133
1988,"DUKAKIS, MICHAEL",132738.0,343133.0,"BUSH, GEORGE H.W.",206040.0,4355.0,Nevada,59032.0,2017.0,1075023.0,-73302.0,0,0,1,1,192357473.44,194168461.3,0.456,768131.0,-0.21362562038626423
1988,"DUKAKIS, MICHAEL",370554.0,986009.0,"BUSH, GEORGE H.W.",606443.0,9012.0,South Carolina,53864.0,2426.0,3412097.0,-235889.0,0,0,1,1,192357473.44,194168461.3,0.402,2453644.0,-0.23923615301685888
1988,"DUKAKIS, MICHAEL",259235.0,661465.0,"BUSH, GEORGE H.W.",397956.0,4274.0,Nebraska,53075.0,2025.0,1571477.0,-138721.0,0,0,1,1,192357473.44,194168461.3,0.588,1125252.0,-0.2097178233164264
1988,"DUKAKIS, MICHAEL",2215940.0,4559120.0,"BUSH, GEORGE H.W.",2310939.0,32241.0,Illinois,62283.0,1591.0,11390186.0,-94999.0,0,0,1,1,192357473.44,194168461.3,0.573,7950848.0,-0.020837135236624612
1988,"DUKAKIS, MICHAEL",1001619.0,2093228.0,"BUSH, GEORGE H.W.",1084953.0,6656.0,Missouri,49455.0,2295.0,5081737.0,-83334.0,0,0,1,1,192357473.44,194168461.3,0.566,3696905.0,-0.03981123890947379
1988,"DUKAKIS, MICHAEL",168936.0,365674.0,"BUSH, GEORGE H.W.",190412.0,6326.0,Montana,46898.0,1749.0,800200.0,-21476.0,0,0,1,1,192357473.44,194168461.3,0.644,568014.0,-0.058729906966314256
1988,"DUKAKIS, MICHAEL",72584.0,200116.0,"BUSH, GEORGE H.W.",119251.0,8281.0,Alaska,69833.0,2496.0,541984.0,-46667.0,0,0,1,1,192357473.44,194168461.3,0.564,355023.0,-0.23319974414839392
1988,"DUKAKIS, MICHAEL",454029.0,1171873.0,"BUSH, GEORGE H.W.",702541.0,15303.0,Arizona,55767.0,1778.0,3535183.0,-248512.0,0,0,1,1,192357473.44,194168461.3,0.477,2454254.0,-0.21206393525578285
1988,"DUKAKIS, MICHAEL",349237.0,827738.0,"BUSH, GEORGE H.W.",466578.0,11923.0,Arkansas,42554.0,1489.0,2342655.0,-117341.0,0,0,1,1,192357473.44,194168461.3,0.49,1689491.0,-0.1417610403291863
1988,"DUKAKIS, MICHAEL",4702233.0,9887065.0,"BUSH, GEORGE H.W.",5054917.0,129915.0,California,63893.0,1337.0,28464250.0,-352684.0,0,0,1,1,192357473.44,194168461.3,0.557,17738700.0,-0.035671253299133766
1988,"DUKAKIS, MICHAEL",621453.0,1372394.0,"BUSH, GEORGE H.W.",728177.0,22764.0,Colorado,55300.0,2711.0,3262280.0,-106724.0,0,0,1,1,192357473.44,194168461.3,0.59,2327768.0,-0.07776484012608624
1988,"DUKAKIS, MICHAEL",676584.0,1443394.0,"BUSH, GEORGE H.W.",750241.0,16569.0,Connecticut,76394.0,2728.0,3271954.0,-73657.0,0,0,1,1,192357473.44,194168461.3,0.607,2379699.0,-0.05103041858286788
1988,"DUKAKIS, MICHAEL",108647.0,249891.0,"BUSH, GEORGE H.W.",139639.0,1605.0,Delaware,64353.0,2462.0,647621.0,-30992.0,0,0,1,1,192357473.44,194168461.3,0.529,472441.0,-0.1240220736241001
1988,"DUKAKIS, MICHAEL",1656701.0,4302313.0,"BUSH, GEORGE H.W.",2618885.0,26727.0,Florida,53596.0,1002.0,12306400.0,-962184.0,0,0,1,1,192357473.44,194168461.3,0.49,8777510.0,-0.22364342157346526
1988,"DUKAKIS, MICHAEL",714792.0,1809672.0,"BUSH, GEORGE H.W.",1081331.0,13549.0,Georgia,56043.0,1890.0,6316139.0,-366539.0,0,0,1,1,192357473.44,194168461.3,0.406,4459739.0,-0.20254443899225938
1988,"DUKAKIS, MICHAEL",192364.0,354461.0,"BUSH, GEORGE H.W.",158625.0,3472.0,Hawaii,69667.0,3126.0,1079827.0,33739.0,1,0,1,1,192357473.44,194168461.3,0.479,739890.0,0.09518395535757107
1988,"DUKAKIS, MICHAEL",147272.0,408968.0,"BUSH, GEORGE H.W.",253881.0,7815.0,Idaho,49470.0,2118.0,985661.0,-106609.0,0,0,1,1,192357473.44,194168461.3,0.613,667345.0,-0.26067809706382894
1988,"DUKAKIS, MICHAEL",549506.0,1378476.0,"BUSH, GEORGE H.W.",815576.0,13394.0,Alabama,42082.0,1924.0,4023842.0,-266070.0,0,0,1,1,192357473.44,194168461.3,0.475,2901744.0,-0.19301750628955455
1988,"DUKAKIS, MICHAEL",860643.0,2168621.0,"BUSH, GEORGE H.W.",1297763.0,10215.0,Indiana,55467.0,1964.0,5491733.0,-437120.0,0,0,1,1,192357473.44,194168461.3,0.543,3996319.0,-0.2015658798840369
1988,"DUKAKIS, MICHAEL",1109471.0,2096790.0,"BUSH, GEORGE H.W.",962337.0,24982.0,Minnesota,61361.0,2196.0,4296163.0,147134.0,1,0,1,1,192357473.44,194168461.3,0.679,3087194.0,0.07017107101808001
1988,"DUKAKIS, MICHAEL",1675783.0,3669163.0,"BUSH, GEORGE H.W.",1965486.0,27894.0,Michigan,62173.0,1281.0,9218002.0,-289703.0,0,0,1,1,192357473.44,194168461.3,0.555,6608812.0,-0.07895615430549147
1988,"DUKAKIS, MICHAEL",1401415.0,2632801.0,"BUSH, GEORGE H.W.",1194635.0,36751.0,Massachusetts,70065.0,1770.0,5979983.0,206780.0,1,0,1,1,192357473.44,194168461.3,0.6,4385728.0,0.07853992762840792
1988,"DUKAKIS, MICHAEL",826304.0,1714358.0,"BUSH, GEORGE H.W.",876167.0,11887.0,Maryland,77109.0,2523.0,4657903.0,-49863.0,0,0,1,1,192357473.44,194168461.3,0.516,3325582.0,-0.029085523560423203
1988,"DUKAKIS, MICHAEL",363921.0,931527.0,"BUSH, GEORGE H.W.",557890.0,9716.0,Mississippi,38323.0,1873.0,2580349.0,-193969.0,0,0,1,1,192357473.44,194168461.3,0.52,1792847.0,-0.208226922032319
1988,"DUKAKIS, MICHAEL",717460.0,1628202.0,"BUSH, GEORGE H.W.",883702.0,27040.0,Louisiana,43240.0,3110.0,4288859.0,-166242.0,0,0,1,1,192357473.44,194168461.3,0.554,2941023.0,-0.10210158199044099
1988,"DUKAKIS, MICHAEL",580368.0,1322517.0,"BUSH, GEORGE H.W.",734281.0,7868.0,Kentucky,41995.0,1690.0,3680002.0,-153913.0,0,0,1,1,192357473.44,194168461.3,0.493,2680364.0,-0.11637884427950643
1988,"DUKAKIS, MICHAEL",422636.0,993044.0,"BUSH, GEORGE H.W.",554049.0,16359.0,Kansas,53933.0,2432.0,2461995.0,-131413.0,0,0,1,1,192357473.44,194168461.3,0.56,1774451.0,-0.13233351190883788
